Pseudogene_ID,Control_Count,Diseased_Count
ENSSG226139610,113,108
ENSSG190093400,100,99
ENSSG417324724,105,109
ENSSG807934615,99,99
ENSSG621835026,92,89
ENSSG244630647,98,101
ENSSG671579248,105,106
ENSSG121135908,88,93
ENSSG163359792,86,88
ENSSG333869763,112,108
ENSSG966613431,101,99
ENSSG058689103,93,93
ENSSG134761433,101,105
ENSSG768644700,100,100
ENSSG988486168,104,208
ENSSG791717987,104,106
ENSSG131875125,89,93
ENSSG229326791,96,92
ENSSG383799335,116,121
ENSSG608774450,92,88
ENSSG892515924,78,78
ENSSG303772517,103,99
ENSSG591285093,108,103
ENSSG331763172,110,108
ENSSG659894785,109,105
ENSSG924331785,89,88
ENSSG777500810,123,123
ENSSG454507122,103,99
ENSSG773618416,105,102
ENSSG590313777,119,115
ENSSG536351591,86,81
ENSSG391561507,96,99
ENSSG030627510,110,107
ENSSG026591536,94,47
ENSSG471603130,110,112
ENSSG851432202,109,109
ENSSG027903970,109,106
ENSSG546078810,98,99
ENSSG175304849,105,104
ENSSG351809158,104,100
ENSSG846879200,92,95
ENSSG995355227,91,87
ENSSG313936231,110,114
ENSSG980237927,99,98
ENSSG971474780,104,100
ENSSG274373707,118,122
ENSSG686805324,95,92
ENSSG339718014,86,89
ENSSG724834962,117,118
ENSSG777478407,106,108
ENSSG634117278,112,112
ENSSG944477994,97,98
ENSSG155895106,105,104
ENSSG094645346,78,156
ENSSG252432480,95,97
ENSSG688565604,83,41
ENSSG908056688,108,216
ENSSG440190754,112,111
ENSSG723554269,109,109
ENSSG794965739,99,97
ENSSG139383567,109,111
ENSSG657116649,89,85
ENSSG093853387,114,110
ENSSG017235502,117,118
ENSSG589797451,87,84
ENSSG868427162,71,74
ENSSG656032297,90,90
ENSSG550093718,103,101
ENSSG250107758,99,101
ENSSG156706414,95,92
ENSSG221091166,93,93
ENSSG396776193,99,94
ENSSG723803398,82,83
ENSSG637584851,104,102
ENSSG727817181,95,97
ENSSG923420759,109,108
ENSSG850551380,90,92
ENSSG800925123,129,126
ENSSG067397948,114,114
ENSSG097002491,88,92
ENSSG958568484,95,190
ENSSG132706273,87,88
ENSSG642699470,111,114
ENSSG331213047,102,98
ENSSG447633967,111,110
ENSSG491740123,97,96
ENSSG906824196,90,87
ENSSG035296795,97,97
ENSSG754478022,103,100
ENSSG071102759,104,105
ENSSG336548964,89,87
ENSSG806490058,100,95
ENSSG081647254,110,111
ENSSG630499027,95,97
ENSSG603641538,106,102
ENSSG908972408,102,106
ENSSG323628544,113,114
ENSSG003854142,85,87
ENSSG141811728,96,101
ENSSG983343361,120,115
ENSSG627705461,78,76
ENSSG140768768,109,109
ENSSG264058642,79,78
ENSSG400590986,88,90
ENSSG553818378,85,170
ENSSG591493444,92,96
ENSSG006848017,92,94
ENSSG626424758,91,96
ENSSG133915524,101,98
ENSSG690953176,97,94
ENSSG562812479,109,112
ENSSG521653158,91,87
ENSSG855493341,85,85
ENSSG959782816,95,100
ENSSG024584503,95,100
ENSSG725002227,103,100
ENSSG810975802,93,91
ENSSG594413584,97,92
ENSSG289362980,114,112
ENSSG507161680,94,90
ENSSG870082589,108,105
ENSSG843615084,96,98
ENSSG222754406,112,110
ENSSG478471293,83,85
ENSSG126428833,82,78
ENSSG799993908,106,212
ENSSG789672542,106,111
ENSSG753151462,104,109
ENSSG244946566,80,82
ENSSG952453471,97,48
ENSSG178809258,95,92
ENSSG779196588,87,84
ENSSG401413734,91,91
ENSSG896574883,86,82
ENSSG456400900,92,184
ENSSG147012997,100,100
ENSSG283444552,98,101
ENSSG409036777,100,200
ENSSG921530007,107,104
ENSSG133608089,102,105
ENSSG037195603,105,107
ENSSG699056871,101,50
ENSSG319169126,108,111
ENSSG362146137,105,110
ENSSG357170351,87,82
ENSSG791499672,100,97
ENSSG331950637,102,98
ENSSG360214428,90,180
ENSSG495216928,86,86
ENSSG401444119,78,75
ENSSG496167249,104,107
ENSSG298473036,93,89
ENSSG713460926,88,92
ENSSG379960819,84,82
ENSSG364518562,94,98
ENSSG468174992,99,101
ENSSG003494218,110,111
ENSSG264946970,89,89
ENSSG726212619,94,94
ENSSG890154638,105,100
ENSSG720140688,91,94
ENSSG701552146,81,85
ENSSG971636076,86,81
ENSSG603528038,95,90
ENSSG678436531,117,115
ENSSG836247354,93,97
ENSSG080215553,98,102
ENSSG542925185,92,96
ENSSG813044824,95,97
ENSSG217230457,105,105
ENSSG026875677,85,90
ENSSG216052615,127,128
ENSSG256418770,102,99
ENSSG174521072,116,117
ENSSG639983986,91,96
ENSSG910542527,90,180
ENSSG355628638,93,98
ENSSG175020447,98,196
ENSSG676782434,98,100
ENSSG465651825,98,93
ENSSG261052244,78,79
ENSSG767340967,103,206
ENSSG388390328,109,104
ENSSG056171328,118,59
ENSSG817786834,111,115
ENSSG638382693,110,112
ENSSG800822059,95,91
ENSSG131733395,96,97
ENSSG185355047,109,107
ENSSG956459634,96,192
ENSSG271171207,98,100
ENSSG435549974,90,93
ENSSG989121221,102,100
ENSSG556503160,92,91
ENSSG865677337,113,111
ENSSG305883955,124,125
ENSSG931233785,98,49
ENSSG104410162,105,104
ENSSG089835141,97,100
ENSSG554932327,108,107
ENSSG325218178,91,88
ENSSG312514094,119,116
ENSSG836167246,116,111
ENSSG675633350,115,116
ENSSG803612068,105,106
ENSSG860914288,101,104
ENSSG399761829,112,56
ENSSG048453867,98,96
ENSSG340705417,100,95
ENSSG422561618,101,105
ENSSG534991690,99,99
ENSSG053603340,101,105
ENSSG489978445,112,114
ENSSG964049850,122,126
ENSSG452801317,104,105
ENSSG191482028,101,103
ENSSG703345989,98,99
ENSSG657621031,106,107
ENSSG466842684,103,100
ENSSG564760604,91,94
ENSSG913609414,100,95
ENSSG687858876,97,97
ENSSG186995695,109,111
ENSSG345408046,89,86
ENSSG241929714,84,87
ENSSG525180796,105,105
ENSSG702331414,107,103
ENSSG048683903,91,93
ENSSG316107316,90,94
ENSSG145510189,102,101
ENSSG534162106,89,90
ENSSG952763676,96,93
ENSSG125102241,96,101
ENSSG687908412,91,89
ENSSG797482002,93,46
ENSSG097490108,98,98
ENSSG224973808,86,82
ENSSG053320301,103,99
ENSSG692184433,93,94
ENSSG829248592,109,107
ENSSG623766275,103,105
ENSSG736243269,96,97
ENSSG179966480,112,113
ENSSG796151883,105,101
ENSSG821220586,90,88
ENSSG755482842,109,114
ENSSG788665183,101,99
ENSSG238809437,116,114
ENSSG325248683,106,110
ENSSG820982225,81,78
ENSSG115831661,102,103
ENSSG143558840,101,98
ENSSG716242645,82,81
ENSSG657036488,106,108
ENSSG761693829,120,116
ENSSG264099158,111,222
ENSSG376618865,95,93
ENSSG850212894,81,78
ENSSG708893789,90,92
ENSSG638705894,107,102
ENSSG145406428,116,117
ENSSG372451355,85,83
ENSSG174334582,108,111
ENSSG304980980,95,98
ENSSG216776778,106,104
ENSSG970140333,88,83
ENSSG955463921,105,52
ENSSG940681214,107,106
ENSSG914660912,109,105
ENSSG870435474,96,100
ENSSG073895923,107,108
ENSSG349718160,123,123
ENSSG009734483,109,110
ENSSG611648933,106,104
ENSSG936646978,102,100
ENSSG071577701,105,110
ENSSG941186676,103,108
ENSSG912651012,109,114
ENSSG020040660,113,56
ENSSG988101940,107,107
ENSSG704960234,127,127
ENSSG088810514,105,108
ENSSG811794001,104,104
ENSSG853262785,103,99
ENSSG239635869,99,104
ENSSG979401071,108,108
ENSSG833324343,107,112
ENSSG721621727,108,54
ENSSG400379342,109,108
ENSSG987225640,86,43
ENSSG580539938,110,113
ENSSG926688780,99,104
ENSSG723699241,93,96
ENSSG313287981,107,106
ENSSG808488375,111,110
ENSSG581226407,117,58
ENSSG433105283,93,98
ENSSG133073361,105,105
ENSSG556161108,92,95
ENSSG846962137,87,82
ENSSG071971625,98,96
ENSSG654882610,112,110
ENSSG932329833,110,109
ENSSG638885982,113,116
ENSSG191694313,104,109
ENSSG955754623,94,98
ENSSG585374478,101,202
ENSSG377231455,109,54
ENSSG131949189,118,122
ENSSG058298119,90,180
ENSSG123255419,110,108
ENSSG367818660,98,96
ENSSG997239312,102,104
ENSSG424779240,105,106
ENSSG626796480,101,99
ENSSG556619451,90,180
ENSSG854770652,92,93
ENSSG010251597,112,107
ENSSG220268724,104,100
ENSSG008963324,88,83
ENSSG725320766,95,98
ENSSG798921337,123,125
ENSSG764050150,114,114
ENSSG585086465,108,216
ENSSG777510516,80,82
ENSSG916057318,87,91
ENSSG514620944,83,41
ENSSG650061883,83,85
ENSSG273222041,100,100
ENSSG631770491,99,99
ENSSG816110081,106,111
ENSSG285586283,91,96
ENSSG928209224,92,92
ENSSG862236382,118,121
ENSSG698431422,93,92
ENSSG965286736,113,114
ENSSG876477380,99,94
ENSSG804594346,104,106
ENSSG168637978,89,91
ENSSG508808015,119,238
ENSSG665770833,100,100
ENSSG891518252,92,88
ENSSG427327602,102,104
ENSSG230981617,85,85
ENSSG257468496,84,80
ENSSG793770658,103,98
ENSSG973126826,125,123
ENSSG902158278,105,102
ENSSG788280390,116,112
ENSSG139795335,111,222
ENSSG043798911,74,70
ENSSG757026648,92,93
ENSSG102677154,72,73
ENSSG190358828,111,113
ENSSG577228923,113,112
ENSSG682019360,97,99
ENSSG316665427,94,47
ENSSG614126910,99,94
ENSSG546316124,79,83
ENSSG393181884,105,110
ENSSG748579644,104,101
ENSSG652895661,99,103
ENSSG119964910,84,88
ENSSG310937065,103,100
ENSSG028624898,86,43
ENSSG245068557,93,89
ENSSG104746515,98,95
ENSSG201763735,101,202
ENSSG995544722,105,210
ENSSG943775879,88,92
ENSSG322670129,86,88
ENSSG901844687,86,172
ENSSG509237687,91,86
ENSSG437892983,93,95
ENSSG975500328,125,127
ENSSG179996762,101,96
ENSSG226076670,99,99
ENSSG123241666,100,95
ENSSG706189760,119,115
ENSSG002688435,79,75
ENSSG869027490,94,98
ENSSG735700684,101,103
ENSSG809772229,106,104
ENSSG238610990,101,97
ENSSG273134616,97,99
ENSSG280733085,106,109
ENSSG443582400,89,93
ENSSG982187298,104,105
ENSSG942574438,80,80
ENSSG810680871,102,103
ENSSG243038619,94,96
ENSSG484338444,99,103
ENSSG439128052,85,84
ENSSG042952849,103,103
ENSSG859159944,96,101
ENSSG374832919,106,111
ENSSG816061407,101,104
ENSSG595423339,87,43
ENSSG395070768,110,109
ENSSG730594700,115,113
ENSSG072864614,95,93
ENSSG056231723,95,100
ENSSG311448517,95,97
ENSSG980833871,97,100
ENSSG146104664,112,117
ENSSG935239371,122,124
ENSSG842375346,106,105
ENSSG650003494,103,100
ENSSG118556429,106,106
ENSSG203953846,101,50
ENSSG151677722,115,111
ENSSG899448948,102,104
ENSSG970994756,90,86
ENSSG420689487,115,115
ENSSG493883855,111,106
ENSSG725970562,86,84
ENSSG484956620,97,98
ENSSG607446271,108,112
ENSSG534894787,103,105
ENSSG558724574,93,92
ENSSG677513572,107,108
ENSSG420009762,119,120
ENSSG590504414,112,115
ENSSG393676151,97,93
ENSSG130204915,93,91
ENSSG533928611,88,86
ENSSG498684872,107,105
ENSSG440575458,106,110
ENSSG946073233,104,106
ENSSG655166844,110,112
ENSSG953702572,108,107
ENSSG722556529,114,114
ENSSG982388803,81,83
ENSSG690739865,76,77
ENSSG889473243,94,93
ENSSG772375073,101,102
ENSSG182553765,83,82
ENSSG403095818,97,98
ENSSG443488151,118,115
ENSSG496516620,121,118
