Gene_Name,Pseudogene_ID
AKTM0GC,ENSSG226139610
TP6N02,ENSSG190093400
MYCX07P1,ENSSG417324724
JAK7NP1,ENSSG807934615
TPUDL,ENSSG621835026
EGFRMN9P1,ENSSG244630647
SOXEE2,ENSSG671579248
HBBMRGP2,ENSSG121135908
BRCA0Q2,ENSSG163359792
JAKJ6RA1,ENSSG333869763
STATG43,ENSSG966613431
MYCST7A1,ENSSG058689103
HBBEWF1,ENSSG134761433
GATAOHPP2,ENSSG768644700
HBBK0D1,ENSSG988486168
JAK8TJL,ENSSG791717987
STATFLDC,ENSSG131875125
CDKUUP2,ENSSG229326791
MYCY34P2,ENSSG383799335
MAPKCMA1,ENSSG608774450
FGFRCHB,ENSSG892515924
TPWH2,ENSSG303772517
HBB44NA1,ENSSG591285093
FGFRJRJP2,ENSSG331763172
BRCA70P1,ENSSG659894785
FGFRE0AA1,ENSSG924331785
FGFR40A1,ENSSG777500810
BRCAOPVA1,ENSSG454507122
CDK4FC,ENSSG773618416
LINCEJC,ENSSG590313777
JAKRTB,ENSSG536351591
JAKZ0AB,ENSSG391561507
STATRP3L,ENSSG030627510
CDK6YC,ENSSG026591536
MYCV0EA1,ENSSG471603130
CDKBOP1,ENSSG851432202
MYC11EP2,ENSSG027903970
EGFRPGP1,ENSSG546078810
HLA87P1,ENSSG175304849
EGFR2VC,ENSSG351809158
MYC5UA1,ENSSG846879200
AKT7XP2,ENSSG995355227
BRCA5R7B,ENSSG313936231
FGFRPRB,ENSSG980237927
EGFRHG3,ENSSG971474780
GATAPTP2,ENSSG274373707
CDKSX2,ENSSG686805324
AKTHGB,ENSSG339718014
HBB75L,ENSSG724834962
JAKV7A1,ENSSG777478407
MYC3M3,ENSSG634117278
MYCQGZB,ENSSG944477994
SOXMX7P2,ENSSG155895106
EGFRSW9C,ENSSG094645346
EGFRSN2A1,ENSSG252432480
GATAR6JA1,ENSSG688565604
GATAE6PL,ENSSG908056688
BRCADLL,ENSSG440190754
MYCLJNP2,ENSSG723554269
HLA1A3,ENSSG794965739
MAPKTO3,ENSSG139383567
HLAW0N3,ENSSG657116649
STATY0T1,ENSSG093853387
CDK06P1,ENSSG017235502
EGFRD52,ENSSG589797451
BRCALCXB,ENSSG868427162
TPELA1,ENSSG656032297
MYCT6H1,ENSSG550093718
HBB67B,ENSSG250107758
GATA74B,ENSSG156706414
LINCUJP1,ENSSG221091166
GATALRA1,ENSSG396776193
SOXGPA1,ENSSG723803398
SOXGYL,ENSSG637584851
AKTKSAC,ENSSG727817181
MAPK9GC,ENSSG923420759
LINCNUB,ENSSG850551380
TPEPPC,ENSSG800925123
BRCAOGJP1,ENSSG067397948
AKTI1P1,ENSSG097002491
GATACE1,ENSSG958568484
STATHO3,ENSSG132706273
MYC2Z3,ENSSG642699470
FGFRTZC,ENSSG331213047
HBBJZP1,ENSSG447633967
LINCVU2,ENSSG491740123
MAPKLSA1,ENSSG906824196
AKTT90C,ENSSG035296795
HLAFQL,ENSSG754478022
AKT8H3,ENSSG071102759
LINC8X0C,ENSSG336548964
HLAKDC,ENSSG806490058
AKT2A33,ENSSG081647254
AKTUJAA1,ENSSG630499027
LINC3ALP1,ENSSG603641538
GATAHG12,ENSSG908972408
STATPU3,ENSSG323628544
STATWTL,ENSSG003854142
MAPK6ZG1,ENSSG141811728
AKTOF1,ENSSG983343361
HLA7CP2,ENSSG627705461
BRCAG0A1,ENSSG140768768
HLADFP2,ENSSG264058642
BRCA1EL,ENSSG400590986
AKTP2L,ENSSG553818378
CDKKEC,ENSSG591493444
EGFR1YVB,ENSSG006848017
AKTUX3,ENSSG626424758
STATG6A1,ENSSG133915524
EGFRO5A1,ENSSG690953176
CDKLCZ2,ENSSG562812479
GATA6FN1,ENSSG521653158
SOX8W1,ENSSG855493341
LINCSMB,ENSSG959782816
TP11B,ENSSG024584503
AKTAE8L,ENSSG725002227
LINCIEB,ENSSG810975802
SOXGHQ1,ENSSG594413584
FGFRZY01,ENSSG289362980
CDKX1JA1,ENSSG507161680
HLAECP1,ENSSG870082589
HBBKUVB,ENSSG843615084
GATAMFU3,ENSSG222754406
LINCONVP1,ENSSG478471293
TPE0C,ENSSG126428833
FGFR67K3,ENSSG799993908
CDK363,ENSSG789672542
EGFR0YR1,ENSSG753151462
AKTNJFP2,ENSSG244946566
AKTJAL,ENSSG952453471
MAPK99RL,ENSSG178809258
HLAY632,ENSSG779196588
AKTW45B,ENSSG401413734
SOXVD2,ENSSG896574883
MAPKY5JB,ENSSG456400900
TP9Q7L,ENSSG147012997
STAT44L2,ENSSG283444552
LINCJK2,ENSSG409036777
SOXV9DA1,ENSSG921530007
JAK4VL,ENSSG133608089
EGFRIP3B,ENSSG037195603
HLAXAB,ENSSG699056871
EGFR99T3,ENSSG319169126
HBBHUL,ENSSG362146137
HLA3EHP1,ENSSG357170351
GATARCL,ENSSG791499672
TP95PB,ENSSG331950637
AKT5NC,ENSSG360214428
STATCU1,ENSSG495216928
CDK52YA1,ENSSG401444119
JAK6BN3,ENSSG496167249
BRCAIZ1,ENSSG298473036
HLACX2,ENSSG713460926
MYCYD9A1,ENSSG379960819
GATAJ6C,ENSSG364518562
JAK31P2,ENSSG468174992
HBB8GD2,ENSSG003494218
TP51L,ENSSG264946970
GATAZJGC,ENSSG726212619
JAKO6LP2,ENSSG890154638
MAPK8TR2,ENSSG720140688
CDKSTMA1,ENSSG701552146
AKTUROB,ENSSG971636076
GATAC1IA1,ENSSG603528038
MYCDN8P2,ENSSG678436531
HBBKNC,ENSSG836247354
STATNPOC,ENSSG080215553
JAKSO3,ENSSG542925185
SOXNRL,ENSSG813044824
HBBCWXC,ENSSG217230457
MYCRD6L,ENSSG026875677
SOXVGT3,ENSSG216052615
HLAD40P1,ENSSG256418770
JAK9881,ENSSG174521072
TPE82,ENSSG639983986
GATASFL,ENSSG910542527
BRCAIBL2,ENSSG355628638
MYCQCP2,ENSSG175020447
HBBZ9A1,ENSSG676782434
STAT8IQC,ENSSG465651825
